PeakID (cmd=annotatePeaks.pl ATAC-H3K27me3_subtracted.bed Gallus_gallus.GRCg6a.dna.toplevel.fa -gtf GalGal6_protein_coding.gtf -gid)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ATAC_R1.mLb.clN_peak_8764	1	136675046	136675680	+	537	NA	Intergenic	Intergenic	-42586	ENSGALG00000043690	ENSGALG00000043690	ENSGALT00000047217			C1H2ORF40			protein_coding
ATAC_R1.mLb.clN_peak_35254	3	33942375	33942803	+	536	NA	intron (ENSGALG00000010635, intron 12 of 21)	protein_coding-intron (ENSGALG00000010635, intron 12 of 21)	12924	ENSGALG00000010635	ENSGALG00000010635	ENSGALT00000017305						protein_coding
ATAC_R1.mLb.clN_peak_26916	2	95055128	95055877	+	535	NA	Intergenic	Intergenic	-103739	ENSGALG00000013775	ENSGALG00000013775	ENSGALT00000074916			CDH19			protein_coding
ATAC_R1.mLb.clN_peak_7701	1	121156926	121158797	+	535	NA	intron (ENSGALG00000016406, intron 1 of 21)	protein_coding-intron (ENSGALG00000016406, intron 1 of 21)	-22769	ENSGALG00000016406	ENSGALG00000016406	ENSGALT00000060518			RPS6KA3			protein_coding
ATAC_R1.mLb.clN_peak_60829	9	9390323	9391212	+	534	NA	Intergenic	Intergenic	11424	ENSGALG00000004959	ENSGALG00000004959	ENSGALT00000007951			IRS1			protein_coding
ATAC_R1.mLb.clN_peak_4480	1	63532344	63533320	+	533	NA	Intergenic	Intergenic	-119834	ENSGALG00000036358	ENSGALG00000036358	ENSGALT00000106033			LMO3			protein_coding
ATAC_R1.mLb.clN_peak_24421	2	50663302	50663956	+	532	NA	Intergenic	Intergenic	-76011	ENSGALG00000034616	ENSGALG00000034616	ENSGALT00000086387			INHBA			protein_coding
ATAC_R1.mLb.clN_peak_38297	3	72634960	72635451	+	530	NA	intron (ENSGALG00000015517, intron 1 of 11)	protein_coding-intron (ENSGALG00000015517, intron 1 of 11)	-20460	ENSGALG00000015517	ENSGALG00000015517	ENSGALT00000067992			KLHL32			protein_coding
ATAC_R1.mLb.clN_peak_36677	3	51545055	51545998	+	529	NA	intron (ENSGALG00000013683, intron 7 of 13)	protein_coding-intron (ENSGALG00000013683, intron 8 of 14)	80383	ENSGALG00000013683	ENSGALG00000013683	ENSGALT00000105583			ARID1B			protein_coding
ATAC_R1.mLb.clN_peak_22244	2	20146425	20147724	+	529	NA	intron (ENSGALG00000008728, intron 1 of 4)	protein_coding-intron (ENSGALG00000008728, intron 1 of 4)	192	ENSGALG00000008728	ENSGALG00000008728	ENSGALT00000014205			PTER			protein_coding
ATAC_R1.mLb.clN_peak_1280	1	19729987	19730577	+	527	NA	Intergenic	Intergenic	-391197	ENSGALG00000023576	ENSGALG00000023576	ENSGALT00000039200			PIM3			protein_coding
ATAC_R1.mLb.clN_peak_6957	1	109423952	109424861	+	527	NA	Intergenic	Intergenic	-1906	ENSGALG00000016132	ENSGALG00000016132	ENSGALT00000036727			IGSF5			protein_coding
ATAC_R1.mLb.clN_peak_3980	1	56209143	56209611	+	527	NA	intron (ENSGALG00000012796, intron 1 of 19)	protein_coding-intron (ENSGALG00000012796, intron 1 of 19)	36914	ENSGALG00000012796	ENSGALG00000012796	ENSGALT00000020879			KIAA1549			protein_coding
ATAC_R1.mLb.clN_peak_14680	11	15357583	15358495	+	527	NA	Intergenic	Intergenic	11998	ENSGALG00000034430	ENSGALG00000034430	ENSGALT00000086628			CMC2			protein_coding
ATAC_R1.mLb.clN_peak_6608	1	104061367	104061639	+	526	NA	intron (ENSGALG00000015770, intron 2 of 16)	protein_coding-intron (ENSGALG00000015770, intron 2 of 15)	60629	ENSGALG00000015770	ENSGALG00000015770	ENSGALT00000001896			APP			protein_coding
ATAC_R1.mLb.clN_peak_50119	5	29259976	29260331	+	525	NA	intron (ENSGALG00000009570, intron 8 of 8)	protein_coding-intron (ENSGALG00000009570, intron 8 of 8)	-6618	ENSGALG00000043908	ENSGALG00000043908	ENSGALT00000108017						protein_coding
ATAC_R1.mLb.clN_peak_65589	Z	58999576	59000029	+	524	NA	Intergenic	Intergenic	-414581	ENSGALG00000027907	ENSGALG00000027907	ENSGALT00000079644			NR2F1			protein_coding
ATAC_R1.mLb.clN_peak_11733	1	190428298	190429224	+	524	NA	Intergenic	Intergenic	-2662	ENSGALG00000017250	ENSGALG00000017250	ENSGALT00000107123			ANKRD42			protein_coding
ATAC_R1.mLb.clN_peak_35086	3	32024593	32025275	+	523	NA	Intergenic	Intergenic	19794	ENSGALG00000025822	ENSGALG00000025822	ENSGALT00000047969			CYP1B1			protein_coding
ATAC_R1.mLb.clN_peak_65280	Z	53742615	53743078	+	523	NA	Intergenic	Intergenic	-13633	ENSGALG00000015385	ENSGALG00000015385	ENSGALT00000024821			THAP1			protein_coding
ATAC_R1.mLb.clN_peak_10315	1	168641880	168642415	+	523	NA	Intergenic	Intergenic	101087	ENSGALG00000051442	ENSGALG00000051442	ENSGALT00000046228			TSC22D1			protein_coding
ATAC_R1.mLb.clN_peak_43270	4	28895499	28896277	+	522	NA	Intergenic	Intergenic	64172	ENSGALG00000009758	ENSGALG00000009758	ENSGALT00000015877			SLC7A11			protein_coding
ATAC_R1.mLb.clN_peak_5990	1	92960418	92961670	+	522	NA	TTS (ENSGALG00000040275)	protein_coding-TTS (ENSGALG00000040275)	-16228	ENSGALG00000015438	ENSGALG00000015438	ENSGALT00000070714			MPZL1			protein_coding
ATAC_R1.mLb.clN_peak_28647	2	118081593	118082166	+	522	NA	Intergenic	Intergenic	44989	ENSGALG00000032701	ENSGALG00000032701	ENSGALT00000099825			LY96			protein_coding
ATAC_R1.mLb.clN_peak_25560	2	75117670	75118591	+	520	NA	Intergenic	Intergenic	245506	ENSGALG00000012952	ENSGALG00000012952	ENSGALT00000021124			BASP1			protein_coding
ATAC_R1.mLb.clN_peak_59144	8	16111832	16113637	+	519	NA	Intergenic	Intergenic	16703	ENSGALG00000006252	ENSGALG00000006252	ENSGALT00000033333			LMO4			protein_coding
ATAC_R1.mLb.clN_peak_4910	1	70039610	70040030	+	519	NA	Intergenic	Intergenic	-56112	ENSGALG00000014218	ENSGALG00000014218	ENSGALT00000052574			PHF21B			protein_coding
ATAC_R1.mLb.clN_peak_3091	1	42591734	42592314	+	519	NA	Intergenic	Intergenic	202970	ENSGALG00000045907	ENSGALG00000045907	ENSGALT00000089934						protein_coding
ATAC_R1.mLb.clN_peak_8176	1	129886612	129887563	+	517	NA	intron (ENSGALG00000024488, intron 1 of 10)	protein_coding-intron (ENSGALG00000024488, intron 1 of 10)	170	ENSGALG00000024488	ENSGALG00000024488	ENSGALT00000041401			CD99			protein_coding
ATAC_R1.mLb.clN_peak_25979	2	80880275	80881230	+	517	NA	intron (ENSGALG00000013100, intron 6 of 17)	protein_coding-intron (ENSGALG00000013100, intron 4 of 14)	-38699	ENSGALG00000046353	ENSGALG00000046353	ENSGALT00000084312						protein_coding
ATAC_R1.mLb.clN_peak_51407	5	43321895	43322751	+	516	NA	Intergenic	Intergenic	-1087	ENSGALG00000010616	ENSGALG00000010616	ENSGALT00000037643						protein_coding
ATAC_R1.mLb.clN_peak_66122	Z	70390897	70391413	+	516	NA	Intergenic	Intergenic	21614	ENSGALG00000046715	ENSGALG00000046715	ENSGALT00000094115						protein_coding
ATAC_R1.mLb.clN_peak_8276	1	130826667	130827301	+	515	NA	Intergenic	Intergenic	213430	ENSGALG00000016698	ENSGALG00000016698	ENSGALT00000026949			SHOX			protein_coding
ATAC_R1.mLb.clN_peak_64685	Z	41759695	41760390	+	512	NA	Intergenic	Intergenic	-17818	ENSGALG00000012618	ENSGALG00000012618	ENSGALT00000020599			FANCC			protein_coding
ATAC_R1.mLb.clN_peak_54540	6	27601007	27602111	+	512	NA	Intergenic	Intergenic	-1511	ENSGALG00000008795	ENSGALG00000008795	ENSGALT00000014299			GPAM			protein_coding
ATAC_R1.mLb.clN_peak_36721	3	52253742	52254420	+	511	NA	Intergenic	Intergenic	-15930	ENSGALG00000013742	ENSGALG00000013742	ENSGALT00000022333			EZR			protein_coding
ATAC_R1.mLb.clN_peak_59168	8	16342117	16343480	+	510	NA	intron (ENSGALG00000006284, intron 1 of 10)	protein_coding-intron (ENSGALG00000006284, intron 1 of 8)	221	ENSGALG00000006284	ENSGALG00000006284	ENSGALT00000082088			SH3GLB1			protein_coding
ATAC_R1.mLb.clN_peak_3046	1	41750033	41750666	+	510	NA	Intergenic	Intergenic	35066	ENSGALG00000027103	ENSGALG00000027103	ENSGALT00000044653			TSPAN19			protein_coding
ATAC_R1.mLb.clN_peak_15252	12	4919314	4919831	+	509	NA	intron (ENSGALG00000004937, intron 3 of 5)	protein_coding-intron (ENSGALG00000004937, intron 2 of 4)	57299	ENSGALG00000004937	ENSGALG00000004937	ENSGALT00000044326			VGLL4			protein_coding
ATAC_R1.mLb.clN_peak_14812	11	16775403	16776250	+	509	NA	intron (ENSGALG00000033137, intron 2 of 8)	protein_coding-intron (ENSGALG00000033137, intron 1 of 7)	269	ENSGALG00000033137	ENSGALG00000033137	ENSGALT00000087079			TLDC1			protein_coding
ATAC_R1.mLb.clN_peak_28384	2	114765474	114766176	+	508	NA	Intergenic	Intergenic	38157	ENSGALG00000036567	ENSGALG00000036567	ENSGALT00000052610			ARMC1			protein_coding
ATAC_R1.mLb.clN_peak_16945	13	7462056	7462992	+	507	NA	intron (ENSGALG00000001718, intron 1 of 6)	protein_coding-intron (ENSGALG00000001718, intron 1 of 6)	134	ENSGALG00000001718	ENSGALG00000001718	ENSGALT00000088737			CCNG1			protein_coding
ATAC_R1.mLb.clN_peak_10124	1	164864531	164865626	+	506	NA	Intergenic	Intergenic	-2830	ENSGALG00000016941	ENSGALG00000016941	ENSGALT00000104417			PCDH17			protein_coding
ATAC_R1.mLb.clN_peak_33145	3	281594	282374	+	506	NA	intron (ENSGALG00000037901, intron 5 of 10)	protein_coding-intron (ENSGALG00000037901, intron 5 of 10)	-28540	ENSGALG00000043545	ENSGALG00000043545	ENSGALT00000052674			PNPT1			protein_coding
ATAC_R1.mLb.clN_peak_38304	3	72695922	72697552	+	506	NA	Intergenic	Intergenic	-23959	ENSGALG00000015570	ENSGALG00000015570	ENSGALT00000025103			GPR63			protein_coding
ATAC_R1.mLb.clN_peak_4148	1	58949497	58950719	+	504	NA	intron (ENSGALG00000012929, intron 1 of 19)	protein_coding-intron (ENSGALG00000012929, intron 1 of 17)	190	ENSGALG00000012929	ENSGALG00000012929	ENSGALT00000094540			DNM1L			protein_coding
ATAC_R1.mLb.clN_peak_12725	10	9178167	9179959	+	504	NA	intron (ENSGALG00000017370, intron 1 of 2)	protein_coding-intron (ENSGALG00000017370, intron 1 of 2)	226	ENSGALG00000017370	ENSGALG00000017370	ENSGALT00000039081			ARPP19			protein_coding
ATAC_R1.mLb.clN_peak_24800	2	59219600	59220148	+	502	NA	intron (ENSGALG00000012677, intron 8 of 14)	protein_coding-intron (ENSGALG00000012677, intron 9 of 15)	195625	ENSGALG00000012677	ENSGALG00000012677	ENSGALT00000020688			CDKAL1			protein_coding
ATAC_R1.mLb.clN_peak_64094	Z	31923444	31924194	+	502	NA	Intergenic	Intergenic	18463	ENSGALG00000052632	ENSGALG00000052632	ENSGALT00000098910						protein_coding
ATAC_R1.mLb.clN_peak_887	1	13790594	13791290	+	502	NA	Intergenic	Intergenic	-112270	ENSGALG00000008167	ENSGALG00000008167	ENSGALT00000055084			KMT2E			protein_coding
ATAC_R1.mLb.clN_peak_8005	1	126670216	126670741	+	501	NA	intron (ENSGALG00000040006, intron 2 of 16)	protein_coding-intron (ENSGALG00000040006, intron 2 of 15)	14652	ENSGALG00000040006	ENSGALG00000040006	ENSGALT00000049924			TBL1X			protein_coding
ATAC_R1.mLb.clN_peak_47530	4	82270645	82271670	+	501	NA	intron (ENSGALG00000015652, intron 1 of 12)	protein_coding-intron (ENSGALG00000015652, intron 1 of 12)	530	ENSGALG00000015652	ENSGALG00000015652	ENSGALT00000025237						protein_coding
ATAC_R1.mLb.clN_peak_14973	11	19604611	19605209	+	501	NA	intron (ENSGALG00000000713, intron 9 of 9)	protein_coding-intron (ENSGALG00000000713, intron 9 of 9)	111724	ENSGALG00000000713	ENSGALG00000000713	ENSGALT00000063417			ZFHX3			protein_coding
ATAC_R1.mLb.clN_peak_15391	12	6217027	6217504	+	500	NA	intron (ENSGALG00000005120, intron 1 of 15)	protein_coding-intron (ENSGALG00000005120, intron 1 of 15)	7100	ENSGALG00000005120	ENSGALG00000005120	ENSGALT00000008222			FBLN2			protein_coding
ATAC_R1.mLb.clN_peak_47385	4	80638147	80638671	+	500	NA	Intergenic	Intergenic	-49229	ENSGALG00000015556	ENSGALG00000015556	ENSGALT00000052132			AFAP1			protein_coding
ATAC_R1.mLb.clN_peak_7133	1	112334253	112335006	+	500	NA	intron (ENSGALG00000028187, intron 1 of 4)	protein_coding-intron (ENSGALG00000028187, intron 1 of 4)	271	ENSGALG00000028187	ENSGALG00000028187	ENSGALT00000043269			FUNDC1			protein_coding
ATAC_R1.mLb.clN_peak_44281	4	41789648	41790428	+	500	NA	Intergenic	Intergenic	208477	ENSGALG00000049124	ENSGALG00000049124	ENSGALT00000101977						protein_coding
ATAC_R1.mLb.clN_peak_23714	2	40302854	40303551	+	499	NA	Intergenic	Intergenic	-1341	ENSGALG00000011484	ENSGALG00000011484	ENSGALT00000018721			CMTM8			protein_coding
ATAC_R1.mLb.clN_peak_52661	6	2596567	2597086	+	498	NA	intron (ENSGALG00000037366, intron 2 of 13)	protein_coding-intron (ENSGALG00000037366, intron 2 of 13)	78533	ENSGALG00000037366	ENSGALG00000037366	ENSGALT00000062466			GRID1			protein_coding
ATAC_R1.mLb.clN_peak_43072	4	25128812	25130230	+	498	NA	Intergenic	Intergenic	-84813	ENSGALG00000048143	ENSGALG00000048143	ENSGALT00000103281						protein_coding
ATAC_R1.mLb.clN_peak_38589	3	77396892	77397520	+	497	NA	Intergenic	Intergenic	-72731	ENSGALG00000015836	ENSGALG00000015836	ENSGALT00000057116			CEP162			protein_coding
ATAC_R1.mLb.clN_peak_65248	Z	52816812	52817884	+	497	NA	Intergenic	Intergenic	-6452	ENSGALG00000015336	ENSGALG00000015336	ENSGALT00000024751			CHRNA7L			protein_coding
ATAC_R1.mLb.clN_peak_64799	Z	44474468	44474915	+	497	NA	Intergenic	Intergenic	16343	ENSGALG00000048460	ENSGALG00000048460	ENSGALT00000095940						protein_coding
ATAC_R1.mLb.clN_peak_24758	2	58422099	58422719	+	496	NA	Intergenic	Intergenic	-150725	ENSGALG00000012671	ENSGALG00000012671	ENSGALT00000058432			prl			protein_coding
ATAC_R1.mLb.clN_peak_34602	3	25839508	25840076	+	496	NA	Intergenic	Intergenic	-103425	ENSGALG00000032259	ENSGALG00000032259	ENSGALT00000046696			SIX3			protein_coding
ATAC_R1.mLb.clN_peak_24133	2	46846511	46846967	+	495	NA	Intergenic	Intergenic	-47897	ENSGALG00000039983	ENSGALG00000039983	ENSGALT00000055028			EEPD1			protein_coding
ATAC_R1.mLb.clN_peak_12527	10	7185577	7186292	+	495	NA	intron (ENSGALG00000004150, intron 1 of 27)	protein_coding-intron (ENSGALG00000004150, intron 1 of 27)	714	ENSGALG00000004150	ENSGALG00000004150	ENSGALT00000006599			MYO1E			protein_coding
ATAC_R1.mLb.clN_peak_38827	3	80562887	80563473	+	495	NA	intron (ENSGALG00000015901, intron 22 of 22)	protein_coding-intron (ENSGALG00000015901, intron 24 of 24)	-39887	ENSGALG00000015898	ENSGALG00000015898	ENSGALT00000049031			MYO6			protein_coding
ATAC_R1.mLb.clN_peak_24522	2	53294682	53295299	+	495	NA	Intergenic	Intergenic	170293	ENSGALG00000052695	ENSGALG00000052695	ENSGALT00000093570						protein_coding
ATAC_R1.mLb.clN_peak_8358	1	131653406	131654295	+	495	NA	intron (ENSGALG00000016735, intron 1 of 21)	protein_coding-intron (ENSGALG00000016735, intron 1 of 23)	214	ENSGALG00000016735	ENSGALG00000016735	ENSGALT00000083019			TUBGCP5			protein_coding
ATAC_R1.mLb.clN_peak_51612	5	45089907	45090350	+	495	NA	intron (ENSGALG00000010820, intron 4 of 7)	protein_coding-intron (ENSGALG00000010820, intron 4 of 7)	5740	ENSGALG00000010820	ENSGALG00000010820	ENSGALT00000017591			CHGA			protein_coding
ATAC_R1.mLb.clN_peak_64681	Z	41664695	41665309	+	494	NA	Intergenic	Intergenic	77222	ENSGALG00000012618	ENSGALG00000012618	ENSGALT00000020599			FANCC			protein_coding
ATAC_R1.mLb.clN_peak_49748	5	23414050	23414549	+	494	NA	intron (ENSGALG00000008231, intron 1 of 9)	protein_coding-intron (ENSGALG00000008231, intron 1 of 10)	-2414	ENSGALG00000008231	ENSGALG00000008231	ENSGALT00000092786			PACSIN3			protein_coding
ATAC_R1.mLb.clN_peak_1063	1	15918764	15919168	+	492	NA	Intergenic	Intergenic	70391	ENSGALG00000031922	ENSGALG00000031922	ENSGALT00000053602			TRMU			protein_coding
ATAC_R1.mLb.clN_peak_15513	12	7135333	7135969	+	491	NA	intron (ENSGALG00000005237, intron 7 of 18)	protein_coding-intron (ENSGALG00000005237, intron 7 of 18)	25216	ENSGALG00000005237	ENSGALG00000005237	ENSGALT00000059485			FGD3			protein_coding
ATAC_R1.mLb.clN_peak_52201	5	52128939	52130668	+	490	NA	Intergenic	Intergenic	13164	ENSGALG00000011692	ENSGALG00000011692	ENSGALT00000100766			CDCA4			protein_coding
ATAC_R1.mLb.clN_peak_66185	Z	71056713	71057950	+	490	NA	intron (ENSGALG00000012350, intron 1 of 16)	protein_coding-intron (ENSGALG00000012350, intron 1 of 16)	305	ENSGALG00000012350	ENSGALG00000012350	ENSGALT00000020176			TDRD7			protein_coding
ATAC_R1.mLb.clN_peak_53025	6	7845672	7846317	+	490	NA	Intergenic	Intergenic	3233	ENSGALG00000050597	ENSGALG00000050597	ENSGALT00000102853						protein_coding
ATAC_R1.mLb.clN_peak_54597	6	28484760	28485445	+	490	NA	intron (ENSGALG00000020679, intron 5 of 12)	protein_coding-intron (ENSGALG00000020679, intron 5 of 13)	2920	ENSGALG00000020679	ENSGALG00000020679	ENSGALT00000095497			PLEKHS1			protein_coding
ATAC_R1.mLb.clN_peak_33989	3	17787134	17787527	+	489	NA	intron (ENSGALG00000009360, intron 11 of 20)	protein_coding-intron (ENSGALG00000009360, intron 11 of 20)	12293	ENSGALG00000009360	ENSGALG00000009360	ENSGALT00000015245			CAPN2			protein_coding
ATAC_R1.mLb.clN_peak_27345	2	101161261	101161712	+	489	NA	intron (ENSGALG00000014811, intron 1 of 43)	protein_coding-intron (ENSGALG00000014811, intron 1 of 47)	29521	ENSGALG00000014801	ENSGALG00000014801	ENSGALT00000023897			NDC80			protein_coding
ATAC_R1.mLb.clN_peak_23942	2	43926710	43927414	+	488	NA	Intergenic	Intergenic	-1726	ENSGALG00000054003	ENSGALG00000054003	ENSGALT00000090453						protein_coding
ATAC_R1.mLb.clN_peak_2883	1	39550932	39551791	+	487	NA	Intergenic	Intergenic	80215	ENSGALG00000010320	ENSGALG00000010320	ENSGALT00000016802			PAWR			protein_coding
ATAC_R1.mLb.clN_peak_27705	2	106653497	106654419	+	486	NA	Intergenic	Intergenic	-16451	ENSGALG00000036969	ENSGALG00000036969	ENSGALT00000061521			KLHL14			protein_coding
ATAC_R1.mLb.clN_peak_42077	4	10503966	10505406	+	486	NA	Intergenic	Intergenic	206334	ENSGALG00000033183	ENSGALG00000033183	ENSGALT00000055905			GABRQ			protein_coding
ATAC_R1.mLb.clN_peak_35030	3	31079195	31080001	+	486	NA	Intergenic	Intergenic	-11062	ENSGALG00000010385	ENSGALG00000010385	ENSGALT00000016916						protein_coding
ATAC_R1.mLb.clN_peak_63963	Z	27532209	27533696	+	486	NA	intron (ENSGALG00000015027, intron 1 of 23)	protein_coding-intron (ENSGALG00000015027, intron 1 of 24)	-27772	ENSGALG00000015027	ENSGALG00000015027	ENSGALT00000102323			JAK2			protein_coding
ATAC_R1.mLb.clN_peak_12953	10	11221005	11222068	+	485	NA	Intergenic	Intergenic	-20459	ENSGALG00000023451	ENSGALG00000023451	ENSGALT00000038771			TRPM7			protein_coding
ATAC_R1.mLb.clN_peak_45927	4	62909099	62909521	+	484	NA	intron (ENSGALG00000013615, intron 1 of 16)	protein_coding-intron (ENSGALG00000013615, intron 1 of 16)	-6130	ENSGALG00000013615	ENSGALG00000013615	ENSGALT00000059978			MTUS1			protein_coding
ATAC_R1.mLb.clN_peak_5705	1	88266039	88266710	+	483	NA	Intergenic	Intergenic	-89061	ENSGALG00000015353	ENSGALG00000015353	ENSGALT00000024777			BBX			protein_coding
ATAC_R1.mLb.clN_peak_58177	8	2927852	2929102	+	482	NA	TTS (ENSGALG00000047835)	protein_coding-TTS (ENSGALG00000047835)	11737	ENSGALG00000047835	ENSGALG00000047835	ENSGALT00000105562						protein_coding
ATAC_R1.mLb.clN_peak_36598	3	50486775	50487866	+	482	NA	Intergenic	Intergenic	72835	ENSGALG00000013635	ENSGALG00000013635	ENSGALT00000022182			SCAF8			protein_coding
ATAC_R1.mLb.clN_peak_3780	1	52945400	52945900	+	482	NA	intron (ENSGALG00000012559, intron 13 of 14)	protein_coding-intron (ENSGALG00000012559, intron 13 of 14)	-76071	ENSGALG00000033589	ENSGALG00000033589	ENSGALT00000063535			SYN3			protein_coding
ATAC_R1.mLb.clN_peak_4721	1	67246457	67247160	+	482	NA	Intergenic	Intergenic	-37689	ENSGALG00000030943	ENSGALG00000030943	ENSGALT00000063877			KRAS			protein_coding
ATAC_R1.mLb.clN_peak_11455	1	186763171	186763677	+	481	NA	intron (ENSGALG00000017205, intron 1 of 1)	protein_coding-intron (ENSGALG00000017205, intron 1 of 1)	4174	ENSGALG00000017205	ENSGALG00000017205	ENSGALT00000027811			ENDOD1			protein_coding
ATAC_R1.mLb.clN_peak_45686	4	59953446	59954268	+	481	NA	intron (ENSGALG00000012245, intron 1 of 8)	protein_coding-intron (ENSGALG00000012245, intron 1 of 8)	239	ENSGALG00000012245	ENSGALG00000012245	ENSGALT00000019994			ADH5			protein_coding
ATAC_R1.mLb.clN_peak_45726	4	60381495	60382193	+	481	NA	intron (ENSGALG00000039498, intron 2 of 12)	protein_coding-intron (ENSGALG00000039498, intron 1 of 12)	110002	ENSGALG00000039498	ENSGALG00000039498	ENSGALT00000079486			PPP3CA			protein_coding
ATAC_R1.mLb.clN_peak_2882	1	39546671	39547438	+	481	NA	Intergenic	Intergenic	84522	ENSGALG00000010320	ENSGALG00000010320	ENSGALT00000016802			PAWR			protein_coding
ATAC_R1.mLb.clN_peak_22495	2	22794571	22795168	+	481	NA	intron (ENSGALG00000009476, intron 3 of 7)	protein_coding-intron (ENSGALG00000009476, intron 2 of 6)	41806	ENSGALG00000009476	ENSGALG00000009476	ENSGALT00000102262			CDK6			protein_coding
ATAC_R1.mLb.clN_peak_48411	5	5426082	5426703	+	480	NA	intron (ENSGALG00000012127, intron 9 of 9)	protein_coding-intron (ENSGALG00000012127, intron 9 of 9)	35056	ENSGALG00000012123	ENSGALG00000012123	ENSGALT00000019804			PAX6			protein_coding
ATAC_R1.mLb.clN_peak_1126	1	16520272	16520918	+	480	NA	Intergenic	Intergenic	195206	ENSGALG00000043058	ENSGALG00000043058	ENSGALT00000092404			TBC1D22A			protein_coding
ATAC_R1.mLb.clN_peak_3139	1	43324115	43324811	+	478	NA	intron (ENSGALG00000011207, intron 2 of 3)	protein_coding-intron (ENSGALG00000011207, intron 2 of 2)	2300	ENSGALG00000011207	ENSGALG00000011207	ENSGALT00000105883			MKP3			protein_coding
ATAC_R1.mLb.clN_peak_21181	2	5880011	5880853	+	477	NA	intron (ENSGALG00000006158, intron 1 of 10)	protein_coding-intron (ENSGALG00000006158, intron 1 of 10)	21368	ENSGALG00000006158	ENSGALG00000006158	ENSGALT00000009945			ACVR2B			protein_coding
ATAC_R1.mLb.clN_peak_25676	2	76608414	76609151	+	477	NA	Intergenic	Intergenic	-13023	ENSGALG00000012997	ENSGALG00000012997	ENSGALT00000021223			DNAH5			protein_coding
ATAC_R1.mLb.clN_peak_29799	2	134959567	134960318	+	476	NA	intron (ENSGALG00000031700, intron 5 of 6)	protein_coding-intron (ENSGALG00000031700, intron 5 of 6)	46754	ENSGALG00000031700	ENSGALG00000031700	ENSGALT00000048562			TRPS1			protein_coding
ATAC_R1.mLb.clN_peak_5708	1	88284674	88285265	+	476	NA	Intergenic	Intergenic	-70466	ENSGALG00000015353	ENSGALG00000015353	ENSGALT00000024777			BBX			protein_coding
